Airline,Verified,Type of Traveller,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Sentiment,Season,Continent_Route
Singapore Airlines,True,Solo Leisure,Business Class,4,4,4,4,4,9,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,3,4,4,1,3,no,Negative,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,1,5,2,1,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,5,5,5,5,10,yes,Positive,Winter,Asia to Europe
Singapore Airlines,True,Family Leisure,Economy Class,5,5,5,5,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,1,5,5,1,3,no,Positive,Winter,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,1,3,1,2,2,5,no,Positive,Winter,Asia to Europe
Singapore Airlines,True,Family Leisure,Economy Class,2,5,3,4,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Business,Economy Class,5,4,5,5,3,4,no,Positive,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,5,4,3,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,5,5,5,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,5,5,5,5,4,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,5,5,5,10,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,1,5,5,3,2,yes,Positive,Winter,Asia to Asia
Singapore Airlines,False,Family Leisure,Business Class,1,5,4,5,5,10,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,4,5,4,4,8,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Business Class,4,5,4,5,3,2,no,Positive,Winter,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,5,5,5,10,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,1,5,5,5,10,yes,Positive,Autumn,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,1,1,1,1,1,2,no,Negative,Winter,Asia to Oceania
Singapore Airlines,True,Family Leisure,Economy Class,1,5,2,3,1,1,no,Positive,Winter,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Business Class,3,5,5,4,5,9,yes,Positive,Winter,Asia to Europe
Singapore Airlines,True,Couple Leisure,Business Class,5,5,5,5,5,10,yes,Positive,Winter,Asia to Oceania
Singapore Airlines,False,Solo Leisure,Business Class,4,4,5,4,4,8,yes,Positive,Winter,Asia to Oceania
Singapore Airlines,True,Family Leisure,Economy Class,3,4,3,3,1,1,no,Negative,Winter,Asia to Oceania
Singapore Airlines,False,Business,Business Class,4,4,4,4,2,2,no,Negative,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,3,5,1,1,1,1,no,Positive,Winter,Asia to Asia
Singapore Airlines,False,Family Leisure,Economy Class,5,5,3,4,1,2,no,Negative,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Premium Economy,3,4,1,3,3,7,yes,Positive,Autumn,Europe to Asia
Singapore Airlines,True,Business,Economy Class,4,5,4,4,1,1,no,Positive,Winter,Oceania to Europe
Singapore Airlines,False,Solo Leisure,Economy Class,4,3,5,3,1,1,no,Positive,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Premium Economy,3,1,3,4,3,8,yes,Positive,Autumn,Oceania to Europe
Singapore Airlines,False,Couple Leisure,Business Class,1,3,3,2,5,10,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Economy Class,3,5,1,4,2,1,no,Positive,Autumn,Europe to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,1,4,4,4,1,1,no,Positive,Autumn,Asia to Asia
Singapore Airlines,True,Solo Leisure,Premium Economy,4,5,4,2,3,6,yes,Positive,Autumn,Europe to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,4,3,3,1,1,no,Positive,Autumn,North America to Europe
Singapore Airlines,True,Couple Leisure,Business Class,4,1,3,5,4,9,yes,Positive,Autumn,Asia to Asia
Singapore Airlines,True,Couple Leisure,Business Class,1,5,5,4,4,9,yes,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Business Class,5,3,1,3,2,4,no,Positive,Autumn,Africa to Asia
Singapore Airlines,False,Business,Business Class,4,3,3,5,3,4,no,Negative,Autumn,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,1,4,5,5,10,yes,Positive,Autumn,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,1,3,5,5,4,1,no,Negative,Autumn,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,3,5,5,1,1,1,no,Positive,Autumn,America to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,2,5,1,4,1,1,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,5,5,4,5,1,1,no,Positive,Summer,Asia to North America
Singapore Airlines,True,Family Leisure,Business Class,5,5,5,5,4,7,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,1,5,5,4,5,10,yes,Positive,Autumn,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,2,5,2,3,5,9,yes,Positive,Summer,Europe to America
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,2,5,1,1,no,Negative,Autumn,Asia to Asia
Singapore Airlines,True,Business,Business Class,4,5,5,4,3,3,no,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Business,Business Class,5,2,3,5,1,1,no,Positive,Summer,America to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,3,4,5,4,9,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Business Class,1,5,5,2,5,10,yes,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,2,5,5,5,10,yes,Positive,Autumn,Asia to Asia
Singapore Airlines,True,Couple Leisure,Premium Economy,3,5,5,5,2,5,no,Positive,Autumn,Asia to Oceania
Singapore Airlines,False,Couple Leisure,Economy Class,5,5,5,1,1,1,no,Positive,Summer,Oceania to Asia
Singapore Airlines,False,Couple Leisure,Economy Class,4,5,1,5,5,10,yes,Positive,Autumn,Africa to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,4,5,5,4,3,6,yes,Positive,Autumn,Europe to Asia
Singapore Airlines,True,Family Leisure,Business Class,5,5,5,3,5,10,yes,Negative,Autumn,North America to Europe
Singapore Airlines,True,Couple Leisure,Business Class,5,3,1,5,5,8,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Business Class,1,5,5,4,5,8,yes,Positive,Summer,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Business Class,4,5,5,4,3,10,yes,Positive,Autumn,Unknown to Oceania
Singapore Airlines,False,Family Leisure,Economy Class,5,4,2,5,5,10,yes,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Business,Business Class,1,5,5,5,5,10,yes,Positive,Spring,Oceania to Asia
Singapore Airlines,False,Business,Premium Economy,5,1,4,1,1,2,no,Negative,Autumn,Asia to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,3,5,4,4,5,10,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Premium Economy,4,2,5,4,5,10,yes,Positive,Autumn,America to Asia
Singapore Airlines,False,Family Leisure,Economy Class,5,5,1,5,5,10,yes,Positive,Autumn,Europe to North America
Singapore Airlines,False,Couple Leisure,Economy Class,5,4,4,4,1,1,no,Positive,Summer,Europe to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,4,4,4,7,no,Positive,Summer,Asia to Oceania
Singapore Airlines,False,Family Leisure,Premium Economy,5,5,4,4,3,5,no,Negative,Summer,America to Asia
Singapore Airlines,True,Couple Leisure,Business Class,5,1,5,3,5,9,yes,Positive,Summer,Oceania to Europe
Singapore Airlines,True,Business,Economy Class,1,5,4,2,4,10,yes,Positive,Summer,Asia to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,5,4,4,5,5,10,yes,Positive,Summer,Asia to Unknown
Singapore Airlines,False,Family Leisure,Economy Class,4,4,4,4,4,6,yes,Positive,Summer,Asia to Asia
Singapore Airlines,False,Family Leisure,Economy Class,4,5,1,4,5,10,yes,Positive,Summer,Europe to Asia
Singapore Airlines,False,Couple Leisure,Business Class,4,5,3,3,5,9,yes,Positive,Summer,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,5,4,5,1,1,no,Negative,Winter,Asia to North America
Singapore Airlines,False,Family Leisure,Business Class,5,5,3,5,5,9,yes,Positive,Spring,Asia to North America
Singapore Airlines,True,Solo Leisure,Premium Economy,5,5,4,5,5,6,yes,Positive,Spring,North America to Europe
Singapore Airlines,True,Family Leisure,Economy Class,3,3,3,2,4,2,no,Negative,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,4,3,4,4,10,yes,Positive,Summer,Oceania to Asia
Singapore Airlines,True,Family Leisure,Business Class,1,5,4,4,4,8,yes,Positive,Spring,Asia to Asia
Singapore Airlines,True,Family Leisure,Business Class,4,5,5,2,5,9,yes,Positive,Spring,Asia to Asia
Singapore Airlines,False,Family Leisure,Business Class,1,5,5,4,5,7,yes,Positive,Spring,North America to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,4,1,4,2,2,no,Positive,Spring,Oceania to Europe
Singapore Airlines,True,Couple Leisure,Business Class,3,5,2,2,3,6,no,Negative,Summer,Asia to Europe
Singapore Airlines,False,Couple Leisure,Business Class,3,5,4,2,3,5,no,Negative,Summer,Europe to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,3,5,1,4,3,7,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Couple Leisure,Business Class,5,3,1,5,3,6,no,Negative,Winter,Europe to Oceania
Singapore Airlines,False,Family Leisure,Premium Economy,1,3,4,5,5,9,yes,Positive,Summer,Asia to North America
Singapore Airlines,True,Solo Leisure,Economy Class,3,1,1,5,2,2,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Business,First Class,4,1,2,5,4,6,yes,Positive,Spring,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Business Class,1,5,2,1,4,9,yes,Positive,Spring,Oceania to Asia
Singapore Airlines,True,Solo Leisure,First Class,3,3,2,3,4,7,yes,Positive,Spring,Asia to Europe
Singapore Airlines,True,Solo Leisure,First Class,3,2,5,4,5,10,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Business,Business Class,2,5,4,4,2,5,yes,Negative,Spring,America to Europe
Singapore Airlines,True,Business,Economy Class,3,2,5,5,2,1,no,Negative,Spring,Africa to Asia
Singapore Airlines,True,Couple Leisure,Premium Economy,2,5,1,4,1,1,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Business,Business Class,4,5,2,5,1,2,no,Negative,Spring,North America to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,5,3,2,4,8,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,4,5,3,3,2,5,no,Positive,Spring,Asia to Europe
Singapore Airlines,True,Family Leisure,Economy Class,5,4,4,5,3,4,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Couple Leisure,Business Class,3,5,4,5,2,4,no,Negative,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,5,4,4,3,4,no,Negative,Spring,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,3,5,4,4,5,10,yes,Positive,Spring,Asia to North America
Singapore Airlines,True,Couple Leisure,Economy Class,5,4,2,5,5,10,yes,Positive,Spring,Asia to Asia
Singapore Airlines,True,Couple Leisure,Business Class,4,5,5,3,5,10,yes,Positive,Spring,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,2,5,1,2,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,3,3,5,1,4,no,Positive,Spring,Europe to North America
Singapore Airlines,True,Couple Leisure,Economy Class,4,3,5,5,4,8,yes,Positive,Spring,Asia to America
Singapore Airlines,True,Solo Leisure,Economy Class,2,5,5,5,4,10,yes,Positive,Spring,Asia to Asia
Singapore Airlines,False,Business,Economy Class,3,3,2,3,3,3,no,Negative,Spring,America to Asia
Singapore Airlines,True,Couple Leisure,Business Class,5,5,5,4,4,9,yes,Positive,Spring,Oceania to Africa
Singapore Airlines,True,Solo Leisure,Business Class,3,5,1,5,4,9,yes,Positive,Spring,Africa to Asia
Singapore Airlines,True,Couple Leisure,Premium Economy,5,3,5,4,5,8,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Family Leisure,Economy Class,5,5,5,5,2,4,no,Negative,Spring,Europe to Asia
Singapore Airlines,True,Business,Economy Class,3,5,1,3,1,1,no,Negative,Spring,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,5,4,3,5,7,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,5,2,5,3,6,yes,Positive,Spring,Asia to Oceania
Singapore Airlines,False,Couple Leisure,Economy Class,5,5,3,4,5,10,yes,Positive,Spring,Asia to Europe
Singapore Airlines,False,Couple Leisure,Economy Class,4,4,2,4,3,5,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,5,5,5,1,2,no,Positive,Spring,Oceania to Asia
Singapore Airlines,True,Business,Business Class,5,5,3,4,4,10,yes,Positive,Spring,Asia to Europe
Singapore Airlines,False,Business,Economy Class,4,3,3,4,1,1,no,Negative,Spring,Asia to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,4,5,5,4,5,10,yes,Positive,Spring,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Premium Economy,1,4,4,5,4,10,yes,Positive,Spring,Oceania to Europe
Singapore Airlines,True,Business,Economy Class,5,5,4,1,3,5,no,Negative,Winter,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,1,5,2,3,5,9,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,False,Solo Leisure,Premium Economy,4,4,5,5,4,9,yes,Negative,Winter,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,5,2,4,4,7,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Family Leisure,Economy Class,5,5,1,1,1,2,no,Negative,Winter,Asia to Europe
Singapore Airlines,True,Couple Leisure,Business Class,1,5,5,5,5,10,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,False,Couple Leisure,Business Class,4,3,5,4,1,2,no,Positive,Winter,Europe to Oceania
Singapore Airlines,True,Family Leisure,Economy Class,5,3,1,1,3,7,yes,Positive,Winter,Europe to America
Singapore Airlines,True,Solo Leisure,Business Class,5,5,1,5,5,10,yes,Positive,Winter,Asia to America
Singapore Airlines,True,Business,Business Class,4,5,2,5,5,9,yes,Positive,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,3,5,2,5,1,1,no,Negative,Winter,Europe to Asia
Singapore Airlines,False,Couple Leisure,Premium Economy,2,5,3,5,5,9,yes,Positive,Winter,Asia to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,5,2,1,3,5,10,yes,Positive,Winter,Asia to America
Singapore Airlines,True,Solo Leisure,Business Class,4,2,3,3,5,10,yes,Positive,Winter,Asia to North America
Singapore Airlines,True,Solo Leisure,Economy Class,3,3,4,5,1,1,no,Positive,Winter,Asia to North America
Singapore Airlines,True,Couple Leisure,Business Class,3,5,1,5,2,5,no,Negative,Winter,Asia to Asia
Singapore Airlines,True,Couple Leisure,Business Class,2,1,5,3,3,7,no,Positive,Winter,Asia to Oceania
Singapore Airlines,False,Family Leisure,Business Class,3,3,5,3,4,10,yes,Positive,Winter,Asia to North America
Singapore Airlines,False,Couple Leisure,Economy Class,4,5,5,2,5,9,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,True,Family Leisure,Business Class,1,1,5,4,1,1,no,Neutral,Winter,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Business Class,1,5,2,4,2,5,no,Positive,Winter,Asia to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,5,3,5,1,4,no,Positive,Autumn,Asia to Europe
Singapore Airlines,True,Couple Leisure,Business Class,3,5,3,1,3,7,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,False,Couple Leisure,Business Class,4,5,1,1,4,7,yes,Positive,Winter,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,2,5,5,1,1,no,Positive,Winter,Asia to Europe
